resource,legacy,existing_mw,dispatchable,capex,annual capex decline,fixed,variable,CO2,NOX,SO2,PM2.5,PM10
gas_harbor,y,450,y,,,,0.21,,,,,
outofbasin,y,3000,y,,,,0.21,,,,,
gas_repower,n,,y,5,0.05,,0.1,0.06,0.06,0.06,0.06,0.06
solar,n,,n,6,0.05,,0,0,0,0,0,0
demand_response,n,,y,4,0.05,,0.15,,,,,
ee_1,n,,n,5,0.05,,0,0,0,0,0,0
ee_2,n,,n,4,0.05,,0,0,0,0,0,0
ee_3,n,,n,3,0.05,,0,0,0,0,0,0
ee_4,n,,n,2,0.05,,0,0,0,0,0,0
ee_5,n,,n,1,0.05,,0,0,0,0,0,0
ee_6,n,,n,6,0.05,,0,0,0,0,0,0
ee_7,n,,n,7,0.05,,0,0,0,0,0,0
ee_8,n,,n,8,0.05,,0,0,0,0,0,0
ee_9,n,,n,9,0.05,,0,0,0,0,0,0
ee_10,n,,n,10,0.05,,0,0,0,0,0,0
